"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","User can add 3 products and checkout successfully","webkit","Wed May 06 15:27:59 UTC 2026","failed","Wed May 06 15:27:59 UTC 2026","Checkout Feature","","",""
"","4","Login success with valid credential","webkit","Wed May 06 15:28:00 UTC 2026","failed","Wed May 06 15:28:00 UTC 2026","Login Feature","","",""
"","1981","Login success with valid credential","firefox","Wed May 06 15:27:56 UTC 2026","passed","Wed May 06 15:27:58 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong username","webkit","Wed May 06 15:28:02 UTC 2026","failed","Wed May 06 15:28:03 UTC 2026","Login Feature","","",""
"","943","Login failed with wrong username","firefox","Wed May 06 15:28:00 UTC 2026","passed","Wed May 06 15:28:01 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong password","webkit","Wed May 06 15:28:01 UTC 2026","failed","Wed May 06 15:28:01 UTC 2026","Login Feature","","",""
"","1095","Login success with valid credential","chromium","Wed May 06 15:27:51 UTC 2026","passed","Wed May 06 15:27:53 UTC 2026","Login Feature","","",""
"","740","Login failed with wrong password","chromium","Wed May 06 15:27:53 UTC 2026","passed","Wed May 06 15:27:54 UTC 2026","Login Feature","","",""
"","2708","User can add 3 products and checkout successfully","firefox","Wed May 06 15:27:54 UTC 2026","passed","Wed May 06 15:27:57 UTC 2026","Checkout Feature","","",""
"","823","Login failed without username and password","chromium","Wed May 06 15:27:54 UTC 2026","passed","Wed May 06 15:27:55 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Wed May 06 15:28:03 UTC 2026","failed","Wed May 06 15:28:03 UTC 2026","Login Feature","","",""
"","825","Login failed without username and password","firefox","Wed May 06 15:28:01 UTC 2026","passed","Wed May 06 15:28:02 UTC 2026","Login Feature","","",""
"","800","Login failed with wrong username","chromium","Wed May 06 15:27:54 UTC 2026","passed","Wed May 06 15:27:54 UTC 2026","Login Feature","","",""
"","1410","User can add 3 products and checkout successfully","chromium","Wed May 06 15:27:51 UTC 2026","passed","Wed May 06 15:27:53 UTC 2026","Checkout Feature","","",""
"","897","Login failed with wrong password","firefox","Wed May 06 15:27:59 UTC 2026","passed","Wed May 06 15:28:00 UTC 2026","Login Feature","","",""
