"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1279","User can add 3 products and checkout successfully","chromium","Sun May 24 14:25:02 UTC 2026","passed","Sun May 24 14:25:03 UTC 2026","Checkout Feature","","",""
"","2199","Login success with valid credential","firefox","Sun May 24 14:25:07 UTC 2026","passed","Sun May 24 14:25:09 UTC 2026","Login Feature","","",""
"","2688","User can add 3 products and checkout successfully","firefox","Sun May 24 14:25:05 UTC 2026","passed","Sun May 24 14:25:08 UTC 2026","Checkout Feature","","",""
"","580","Login failed with wrong username","chromium","Sun May 24 14:25:05 UTC 2026","passed","Sun May 24 14:25:05 UTC 2026","Login Feature","","",""
"","4","Login success with valid credential","webkit","Sun May 24 14:25:12 UTC 2026","failed","Sun May 24 14:25:12 UTC 2026","Login Feature","","",""
"","612","Login failed with wrong username","firefox","Sun May 24 14:25:10 UTC 2026","passed","Sun May 24 14:25:11 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Sun May 24 14:25:14 UTC 2026","failed","Sun May 24 14:25:14 UTC 2026","Login Feature","","",""
"","574","Login failed with wrong password","chromium","Sun May 24 14:25:04 UTC 2026","passed","Sun May 24 14:25:05 UTC 2026","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","Sun May 24 14:25:11 UTC 2026","failed","Sun May 24 14:25:11 UTC 2026","Checkout Feature","","",""
"","674","Login failed with wrong password","firefox","Sun May 24 14:25:09 UTC 2026","passed","Sun May 24 14:25:10 UTC 2026","Login Feature","","",""
"","552","Login failed without username and password","chromium","Sun May 24 14:25:05 UTC 2026","passed","Sun May 24 14:25:06 UTC 2026","Login Feature","","",""
"","771","Login failed without username and password","firefox","Sun May 24 14:25:11 UTC 2026","passed","Sun May 24 14:25:11 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong password","webkit","Sun May 24 14:25:13 UTC 2026","failed","Sun May 24 14:25:13 UTC 2026","Login Feature","","",""
"","977","Login success with valid credential","chromium","Sun May 24 14:25:02 UTC 2026","passed","Sun May 24 14:25:03 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong username","webkit","Sun May 24 14:25:14 UTC 2026","failed","Sun May 24 14:25:14 UTC 2026","Login Feature","","",""
