"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2091","Login success with valid credential","firefox","2026-06-18","passed","2026-06-18","Login Feature","","",""
"","830","Login failed without username and password","chromium","2026-06-18","passed","2026-06-18","Login Feature","","",""
"","3","Login failed without username and password","webkit","2026-06-18","failed","2026-06-18","Login Feature","","",""
"","1739","User can add 3 products and checkout successfully","chromium","2026-06-18","passed","2026-06-18","Checkout Feature","","",""
"","926","Login failed with wrong password","firefox","2026-06-18","passed","2026-06-18","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","2026-06-18","failed","2026-06-18","Checkout Feature","","",""
"","843","Login failed with wrong username","chromium","2026-06-18","passed","2026-06-18","Login Feature","","",""
"","794","Login failed without username and password","firefox","2026-06-18","passed","2026-06-18","Login Feature","","",""
"","2650","User can add 3 products and checkout successfully","firefox","2026-06-18","passed","2026-06-18","Checkout Feature","","",""
"","4","Login success with valid credential","webkit","2026-06-18","failed","2026-06-18","Login Feature","","",""
"","832","Login failed with wrong username","firefox","2026-06-18","passed","2026-06-18","Login Feature","","",""
"","3","Login failed with wrong username","webkit","2026-06-18","failed","2026-06-18","Login Feature","","",""
"","1393","Login success with valid credential","chromium","2026-06-18","passed","2026-06-18","Login Feature","","",""
"","3","Login failed with wrong password","webkit","2026-06-18","failed","2026-06-18","Login Feature","","",""
"","879","Login failed with wrong password","chromium","2026-06-18","passed","2026-06-18","Login Feature","","",""
