"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1043","Login success with valid credential","chromium","Tue Mar 17 14:19:43 UTC 2026","passed","Tue Mar 17 14:19:44 UTC 2026","Login Feature","","",""
"","759","Login failed with wrong password","firefox","Tue Mar 17 14:19:51 UTC 2026","passed","Tue Mar 17 14:19:52 UTC 2026","Login Feature","","",""
"","1834","Login success with valid credential","firefox","Tue Mar 17 14:19:49 UTC 2026","passed","Tue Mar 17 14:19:50 UTC 2026","Login Feature","","",""
"","2426","User can add 3 products and checkout successfully","firefox","Tue Mar 17 14:19:47 UTC 2026","passed","Tue Mar 17 14:19:49 UTC 2026","Checkout Feature","","",""
"","5","User can add 3 products and checkout successfully","webkit","Tue Mar 17 14:19:51 UTC 2026","failed","Tue Mar 17 14:19:51 UTC 2026","Checkout Feature","","",""
"","669","Login failed with wrong username","firefox","Tue Mar 17 14:19:52 UTC 2026","passed","Tue Mar 17 14:19:52 UTC 2026","Login Feature","","",""
"","649","Login failed with wrong username","chromium","Tue Mar 17 14:19:46 UTC 2026","passed","Tue Mar 17 14:19:47 UTC 2026","Login Feature","","",""
"","656","Login failed without username and password","firefox","Tue Mar 17 14:19:52 UTC 2026","passed","Tue Mar 17 14:19:53 UTC 2026","Login Feature","","",""
"","643","Login failed with wrong password","chromium","Tue Mar 17 14:19:46 UTC 2026","passed","Tue Mar 17 14:19:46 UTC 2026","Login Feature","","",""
"","632","Login failed without username and password","chromium","Tue Mar 17 14:19:47 UTC 2026","passed","Tue Mar 17 14:19:48 UTC 2026","Login Feature","","",""
"","4","Login success with valid credential","webkit","Tue Mar 17 14:19:52 UTC 2026","failed","Tue Mar 17 14:19:52 UTC 2026","Login Feature","","",""
"","1316","User can add 3 products and checkout successfully","chromium","Tue Mar 17 14:19:43 UTC 2026","passed","Tue Mar 17 14:19:45 UTC 2026","Checkout Feature","","",""
"","3","Login failed with wrong username","webkit","Tue Mar 17 14:19:54 UTC 2026","failed","Tue Mar 17 14:19:54 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong password","webkit","Tue Mar 17 14:19:53 UTC 2026","failed","Tue Mar 17 14:19:53 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Tue Mar 17 14:19:54 UTC 2026","failed","Tue Mar 17 14:19:54 UTC 2026","Login Feature","","",""
