"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","732","Login failed with wrong password","firefox","2026-06-10","passed","2026-06-10","Login Feature","","",""
"","983","Login success with valid credential","chromium","2026-06-10","passed","2026-06-10","Login Feature","","",""
"","587","Login failed with wrong password","chromium","2026-06-10","passed","2026-06-10","Login Feature","","",""
"","591","Login failed without username and password","chromium","2026-06-10","passed","2026-06-10","Login Feature","","",""
"","750","Login failed without username and password","firefox","2026-06-10","passed","2026-06-10","Login Feature","","",""
"","3045","User can add 3 products and checkout successfully","firefox","2026-06-10","passed","2026-06-10","Checkout Feature","","",""
"","6","User can add 3 products and checkout successfully","webkit","2026-06-10","failed","2026-06-10","Checkout Feature","","",""
"","3","Login failed with wrong password","webkit","2026-06-10","failed","2026-06-10","Login Feature","","",""
"","1426","User can add 3 products and checkout successfully","chromium","2026-06-10","passed","2026-06-10","Checkout Feature","","",""
"","3","Login failed without username and password","webkit","2026-06-10","failed","2026-06-10","Login Feature","","",""
"","632","Login failed with wrong username","firefox","2026-06-10","passed","2026-06-10","Login Feature","","",""
"","3","Login success with valid credential","webkit","2026-06-10","failed","2026-06-10","Login Feature","","",""
"","617","Login failed with wrong username","chromium","2026-06-10","passed","2026-06-10","Login Feature","","",""
"","3","Login failed with wrong username","webkit","2026-06-10","failed","2026-06-10","Login Feature","","",""
"","2261","Login success with valid credential","firefox","2026-06-10","passed","2026-06-10","Login Feature","","",""
