"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Login success with valid credential","webkit","Wed Apr 22 14:47:37 UTC 2026","failed","Wed Apr 22 14:47:37 UTC 2026","Login Feature","","",""
"","608","Login failed with wrong password","chromium","Wed Apr 22 14:47:29 UTC 2026","passed","Wed Apr 22 14:47:29 UTC 2026","Login Feature","","",""
"","4","Login failed with wrong password","webkit","Wed Apr 22 14:47:38 UTC 2026","failed","Wed Apr 22 14:47:38 UTC 2026","Login Feature","","",""
"","2175","Login success with valid credential","firefox","Wed Apr 22 14:47:31 UTC 2026","passed","Wed Apr 22 14:47:34 UTC 2026","Login Feature","","",""
"","630","Login failed without username and password","chromium","Wed Apr 22 14:47:30 UTC 2026","passed","Wed Apr 22 14:47:31 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Wed Apr 22 14:47:40 UTC 2026","failed","Wed Apr 22 14:47:40 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong username","webkit","Wed Apr 22 14:47:39 UTC 2026","failed","Wed Apr 22 14:47:39 UTC 2026","Login Feature","","",""
"","804","Login failed with wrong username","firefox","Wed Apr 22 14:47:35 UTC 2026","passed","Wed Apr 22 14:47:36 UTC 2026","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","Wed Apr 22 14:47:35 UTC 2026","failed","Wed Apr 22 14:47:35 UTC 2026","Checkout Feature","","",""
"","880","Login failed without username and password","firefox","Wed Apr 22 14:47:36 UTC 2026","passed","Wed Apr 22 14:47:37 UTC 2026","Login Feature","","",""
"","2641","User can add 3 products and checkout successfully","firefox","Wed Apr 22 14:47:30 UTC 2026","passed","Wed Apr 22 14:47:33 UTC 2026","Checkout Feature","","",""
"","1005","Login success with valid credential","chromium","Wed Apr 22 14:47:27 UTC 2026","passed","Wed Apr 22 14:47:28 UTC 2026","Login Feature","","",""
"","1303","User can add 3 products and checkout successfully","chromium","Wed Apr 22 14:47:27 UTC 2026","passed","Wed Apr 22 14:47:29 UTC 2026","Checkout Feature","","",""
"","635","Login failed with wrong username","chromium","Wed Apr 22 14:47:29 UTC 2026","passed","Wed Apr 22 14:47:30 UTC 2026","Login Feature","","",""
"","1062","Login failed with wrong password","firefox","Wed Apr 22 14:47:34 UTC 2026","passed","Wed Apr 22 14:47:35 UTC 2026","Login Feature","","",""
