"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2134","Login success with valid credential","firefox","Fri Apr 17 14:21:41 UTC 2026","passed","Fri Apr 17 14:21:43 UTC 2026","Login Feature","","",""
"","685","Login failed without username and password","chromium","Fri Apr 17 14:21:39 UTC 2026","passed","Fri Apr 17 14:21:40 UTC 2026","Login Feature","","",""
"","855","Login failed with wrong username","firefox","Fri Apr 17 14:21:44 UTC 2026","passed","Fri Apr 17 14:21:45 UTC 2026","Login Feature","","",""
"","803","Login failed with wrong password","firefox","Fri Apr 17 14:21:43 UTC 2026","passed","Fri Apr 17 14:21:44 UTC 2026","Login Feature","","",""
"","1486","User can add 3 products and checkout successfully","chromium","Fri Apr 17 14:21:36 UTC 2026","passed","Fri Apr 17 14:21:37 UTC 2026","Checkout Feature","","",""
"","3","Login failed with wrong username","webkit","Fri Apr 17 14:21:47 UTC 2026","failed","Fri Apr 17 14:21:47 UTC 2026","Login Feature","","",""
"","2785","User can add 3 products and checkout successfully","firefox","Fri Apr 17 14:21:39 UTC 2026","passed","Fri Apr 17 14:21:42 UTC 2026","Checkout Feature","","",""
"","684","Login failed without username and password","firefox","Fri Apr 17 14:21:45 UTC 2026","passed","Fri Apr 17 14:21:46 UTC 2026","Login Feature","","",""
"","3","Login success with valid credential","webkit","Fri Apr 17 14:21:46 UTC 2026","failed","Fri Apr 17 14:21:46 UTC 2026","Login Feature","","",""
"","728","Login failed with wrong password","chromium","Fri Apr 17 14:21:37 UTC 2026","passed","Fri Apr 17 14:21:38 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Fri Apr 17 14:21:48 UTC 2026","failed","Fri Apr 17 14:21:48 UTC 2026","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","Fri Apr 17 14:21:44 UTC 2026","failed","Fri Apr 17 14:21:44 UTC 2026","Checkout Feature","","",""
"","3","Login failed with wrong password","webkit","Fri Apr 17 14:21:47 UTC 2026","failed","Fri Apr 17 14:21:47 UTC 2026","Login Feature","","",""
"","719","Login failed with wrong username","chromium","Fri Apr 17 14:21:38 UTC 2026","passed","Fri Apr 17 14:21:39 UTC 2026","Login Feature","","",""
"","1068","Login success with valid credential","chromium","Fri Apr 17 14:21:36 UTC 2026","passed","Fri Apr 17 14:21:37 UTC 2026","Login Feature","","",""
