"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","617","Login failed with wrong password","chromium","Mon May 11 15:56:44 UTC 2026","passed","Mon May 11 15:56:44 UTC 2026","Login Feature","","",""
"","1134","Login success with valid credential","chromium","Mon May 11 15:56:40 UTC 2026","passed","Mon May 11 15:56:41 UTC 2026","Login Feature","","",""
"","564","Login failed with wrong username","chromium","Mon May 11 15:56:44 UTC 2026","passed","Mon May 11 15:56:45 UTC 2026","Login Feature","","",""
"","2656","User can add 3 products and checkout successfully","firefox","Mon May 11 15:56:45 UTC 2026","passed","Mon May 11 15:56:48 UTC 2026","Checkout Feature","","",""
"","740","Login failed with wrong password","firefox","Mon May 11 15:56:49 UTC 2026","passed","Mon May 11 15:56:50 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Mon May 11 15:56:55 UTC 2026","failed","Mon May 11 15:56:55 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong username","webkit","Mon May 11 15:56:54 UTC 2026","failed","Mon May 11 15:56:54 UTC 2026","Login Feature","","",""
"","534","Login failed without username and password","chromium","Mon May 11 15:56:45 UTC 2026","passed","Mon May 11 15:56:46 UTC 2026","Login Feature","","",""
"","632","Login failed with wrong username","firefox","Mon May 11 15:56:50 UTC 2026","passed","Mon May 11 15:56:50 UTC 2026","Login Feature","","",""
"","804","Login failed without username and password","firefox","Mon May 11 15:56:50 UTC 2026","passed","Mon May 11 15:56:51 UTC 2026","Login Feature","","",""
"","1533","User can add 3 products and checkout successfully","chromium","Mon May 11 15:56:40 UTC 2026","passed","Mon May 11 15:56:41 UTC 2026","Checkout Feature","","",""
"","2238","Login success with valid credential","firefox","Mon May 11 15:56:46 UTC 2026","passed","Mon May 11 15:56:48 UTC 2026","Login Feature","","",""
"","4","Login success with valid credential","webkit","Mon May 11 15:56:52 UTC 2026","failed","Mon May 11 15:56:52 UTC 2026","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","Mon May 11 15:56:51 UTC 2026","failed","Mon May 11 15:56:51 UTC 2026","Checkout Feature","","",""
"","3","Login failed with wrong password","webkit","Mon May 11 15:56:53 UTC 2026","failed","Mon May 11 15:56:53 UTC 2026","Login Feature","","",""
