"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1037","Login success with valid credential","chromium","Sat May 09 14:17:38 UTC 2026","passed","Sat May 09 14:17:39 UTC 2026","Login Feature","","",""
"","526","Login failed without username and password","chromium","Sat May 09 14:17:42 UTC 2026","passed","Sat May 09 14:17:42 UTC 2026","Login Feature","","",""
"","784","Login failed without username and password","firefox","Sat May 09 14:17:47 UTC 2026","passed","Sat May 09 14:17:48 UTC 2026","Login Feature","","",""
"","3","User can add 3 products and checkout successfully","webkit","Sat May 09 14:17:48 UTC 2026","failed","Sat May 09 14:17:48 UTC 2026","Checkout Feature","","",""
"","632","Login failed with wrong username","firefox","Sat May 09 14:17:47 UTC 2026","passed","Sat May 09 14:17:47 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Sat May 09 14:17:51 UTC 2026","failed","Sat May 09 14:17:51 UTC 2026","Login Feature","","",""
"","2748","User can add 3 products and checkout successfully","firefox","Sat May 09 14:17:42 UTC 2026","passed","Sat May 09 14:17:44 UTC 2026","Checkout Feature","","",""
"","754","Login failed with wrong password","firefox","Sat May 09 14:17:46 UTC 2026","passed","Sat May 09 14:17:47 UTC 2026","Login Feature","","",""
"","2275","Login success with valid credential","firefox","Sat May 09 14:17:43 UTC 2026","passed","Sat May 09 14:17:45 UTC 2026","Login Feature","","",""
"","606","Login failed with wrong username","chromium","Sat May 09 14:17:41 UTC 2026","passed","Sat May 09 14:17:42 UTC 2026","Login Feature","","",""
"","634","Login failed with wrong password","chromium","Sat May 09 14:17:41 UTC 2026","passed","Sat May 09 14:17:41 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong username","webkit","Sat May 09 14:17:50 UTC 2026","failed","Sat May 09 14:17:50 UTC 2026","Login Feature","","",""
"","1355","User can add 3 products and checkout successfully","chromium","Sat May 09 14:17:38 UTC 2026","passed","Sat May 09 14:17:39 UTC 2026","Checkout Feature","","",""
"","3","Login success with valid credential","webkit","Sat May 09 14:17:49 UTC 2026","failed","Sat May 09 14:17:49 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong password","webkit","Sat May 09 14:17:49 UTC 2026","failed","Sat May 09 14:17:50 UTC 2026","Login Feature","","",""
