"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","783","Login failed with wrong username","firefox","2026-06-01","passed","2026-06-01","Login Feature","","",""
"","924","Login success with valid credential","chromium","2026-06-01","passed","2026-06-01","Login Feature","","",""
"","9","Login success with valid credential","webkit","2026-06-01","failed","2026-06-01","Login Feature","","",""
"","2482","User can add 3 products and checkout successfully","firefox","2026-06-01","passed","2026-06-01","Checkout Feature","","",""
"","1236","User can add 3 products and checkout successfully","chromium","2026-06-01","passed","2026-06-01","Checkout Feature","","",""
"","3","Login failed without username and password","webkit","2026-06-01","failed","2026-06-01","Login Feature","","",""
"","718","Login failed without username and password","firefox","2026-06-01","passed","2026-06-01","Login Feature","","",""
"","2228","Login success with valid credential","firefox","2026-06-01","passed","2026-06-01","Login Feature","","",""
"","659","Login failed without username and password","chromium","2026-06-01","passed","2026-06-01","Login Feature","","",""
"","580","Login failed with wrong username","chromium","2026-06-01","passed","2026-06-01","Login Feature","","",""
"","711","Login failed with wrong password","firefox","2026-06-01","passed","2026-06-01","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","2026-06-01","failed","2026-06-01","Checkout Feature","","",""
"","3","Login failed with wrong password","webkit","2026-06-01","failed","2026-06-01","Login Feature","","",""
"","3","Login failed with wrong username","webkit","2026-06-01","failed","2026-06-01","Login Feature","","",""
"","568","Login failed with wrong password","chromium","2026-06-01","passed","2026-06-01","Login Feature","","",""
