"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","737","Login failed without username and password","firefox","Thu May 14 15:21:22 UTC 2026","passed","Thu May 14 15:21:23 UTC 2026","Login Feature","","",""
"","759","Login failed with wrong username","chromium","Thu May 14 15:21:15 UTC 2026","passed","Thu May 14 15:21:16 UTC 2026","Login Feature","","",""
"","2585","User can add 3 products and checkout successfully","firefox","Thu May 14 15:21:15 UTC 2026","passed","Thu May 14 15:21:18 UTC 2026","Checkout Feature","","",""
"","864","Login failed with wrong password","firefox","Thu May 14 15:21:20 UTC 2026","passed","Thu May 14 15:21:21 UTC 2026","Login Feature","","",""
"","3","Login success with valid credential","webkit","Thu May 14 15:21:21 UTC 2026","failed","Thu May 14 15:21:21 UTC 2026","Login Feature","","",""
"","1813","Login success with valid credential","firefox","Thu May 14 15:21:18 UTC 2026","passed","Thu May 14 15:21:19 UTC 2026","Login Feature","","",""
"","2","Login failed without username and password","webkit","Thu May 14 15:21:24 UTC 2026","failed","Thu May 14 15:21:24 UTC 2026","Login Feature","","",""
"","746","Login failed with wrong password","chromium","Thu May 14 15:21:14 UTC 2026","passed","Thu May 14 15:21:15 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong password","webkit","Thu May 14 15:21:23 UTC 2026","failed","Thu May 14 15:21:23 UTC 2026","Login Feature","","",""
"","892","Login failed with wrong username","firefox","Thu May 14 15:21:21 UTC 2026","passed","Thu May 14 15:21:22 UTC 2026","Login Feature","","",""
"","2","Login failed with wrong username","webkit","Thu May 14 15:21:24 UTC 2026","failed","Thu May 14 15:21:24 UTC 2026","Login Feature","","",""
"","1136","Login success with valid credential","chromium","Thu May 14 15:21:13 UTC 2026","passed","Thu May 14 15:21:14 UTC 2026","Login Feature","","",""
"","1504","User can add 3 products and checkout successfully","chromium","Thu May 14 15:21:13 UTC 2026","passed","Thu May 14 15:21:14 UTC 2026","Checkout Feature","","",""
"","856","Login failed without username and password","chromium","Thu May 14 15:21:16 UTC 2026","passed","Thu May 14 15:21:17 UTC 2026","Login Feature","","",""
"","6","User can add 3 products and checkout successfully","webkit","Thu May 14 15:21:20 UTC 2026","failed","Thu May 14 15:21:20 UTC 2026","Checkout Feature","","",""
