"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","812","Login failed with wrong password","firefox","Mon Apr 13 14:51:32 UTC 2026","passed","Mon Apr 13 14:51:33 UTC 2026","Login Feature","","",""
"","696","Login failed with wrong username","firefox","Mon Apr 13 14:51:33 UTC 2026","passed","Mon Apr 13 14:51:34 UTC 2026","Login Feature","","",""
"","3043","User can add 3 products and checkout successfully","firefox","Mon Apr 13 14:51:28 UTC 2026","passed","Mon Apr 13 14:51:31 UTC 2026","Checkout Feature","","",""
"","659","Login failed with wrong password","chromium","Mon Apr 13 14:51:27 UTC 2026","passed","Mon Apr 13 14:51:27 UTC 2026","Login Feature","","",""
"","1410","User can add 3 products and checkout successfully","chromium","Mon Apr 13 14:51:24 UTC 2026","passed","Mon Apr 13 14:51:26 UTC 2026","Checkout Feature","","",""
"","1044","Login success with valid credential","chromium","Mon Apr 13 14:51:24 UTC 2026","passed","Mon Apr 13 14:51:25 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong username","webkit","Mon Apr 13 14:51:37 UTC 2026","failed","Mon Apr 13 14:51:37 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Mon Apr 13 14:51:38 UTC 2026","failed","Mon Apr 13 14:51:38 UTC 2026","Login Feature","","",""
"","784","Login failed without username and password","firefox","Mon Apr 13 14:51:34 UTC 2026","passed","Mon Apr 13 14:51:35 UTC 2026","Login Feature","","",""
"","5","User can add 3 products and checkout successfully","webkit","Mon Apr 13 14:51:34 UTC 2026","failed","Mon Apr 13 14:51:34 UTC 2026","Checkout Feature","","",""
"","2365","Login success with valid credential","firefox","Mon Apr 13 14:51:29 UTC 2026","passed","Mon Apr 13 14:51:32 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong password","webkit","Mon Apr 13 14:51:36 UTC 2026","failed","Mon Apr 13 14:51:36 UTC 2026","Login Feature","","",""
"","595","Login failed with wrong username","chromium","Mon Apr 13 14:51:27 UTC 2026","passed","Mon Apr 13 14:51:28 UTC 2026","Login Feature","","",""
"","3","Login success with valid credential","webkit","Mon Apr 13 14:51:35 UTC 2026","failed","Mon Apr 13 14:51:35 UTC 2026","Login Feature","","",""
"","593","Login failed without username and password","chromium","Mon Apr 13 14:51:28 UTC 2026","passed","Mon Apr 13 14:51:29 UTC 2026","Login Feature","","",""
