"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Login failed with wrong username","webkit","Wed May 20 16:35:06 UTC 2026","failed","Wed May 20 16:35:06 UTC 2026","Login Feature","","",""
"","3","Login success with valid credential","webkit","Wed May 20 16:35:03 UTC 2026","failed","Wed May 20 16:35:03 UTC 2026","Login Feature","","",""
"","831","Login failed with wrong username","firefox","Wed May 20 16:35:02 UTC 2026","passed","Wed May 20 16:35:03 UTC 2026","Login Feature","","",""
"","2097","Login success with valid credential","firefox","Wed May 20 16:34:59 UTC 2026","passed","Wed May 20 16:35:01 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Wed May 20 16:35:07 UTC 2026","failed","Wed May 20 16:35:07 UTC 2026","Login Feature","","",""
"","726","Login failed with wrong username","chromium","Wed May 20 16:34:56 UTC 2026","passed","Wed May 20 16:34:57 UTC 2026","Login Feature","","",""
"","672","Login failed without username and password","chromium","Wed May 20 16:34:57 UTC 2026","passed","Wed May 20 16:34:58 UTC 2026","Login Feature","","",""
"","2527","User can add 3 products and checkout successfully","firefox","Wed May 20 16:34:57 UTC 2026","passed","Wed May 20 16:34:59 UTC 2026","Checkout Feature","","",""
"","986","Login success with valid credential","chromium","Wed May 20 16:34:54 UTC 2026","passed","Wed May 20 16:34:55 UTC 2026","Login Feature","","",""
"","1361","User can add 3 products and checkout successfully","chromium","Wed May 20 16:34:54 UTC 2026","passed","Wed May 20 16:34:55 UTC 2026","Checkout Feature","","",""
"","3","Login failed with wrong password","webkit","Wed May 20 16:35:05 UTC 2026","failed","Wed May 20 16:35:05 UTC 2026","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","Wed May 20 16:35:02 UTC 2026","failed","Wed May 20 16:35:02 UTC 2026","Checkout Feature","","",""
"","907","Login failed with wrong password","firefox","Wed May 20 16:35:01 UTC 2026","passed","Wed May 20 16:35:02 UTC 2026","Login Feature","","",""
"","748","Login failed with wrong password","chromium","Wed May 20 16:34:56 UTC 2026","passed","Wed May 20 16:34:56 UTC 2026","Login Feature","","",""
"","991","Login failed without username and password","firefox","Wed May 20 16:35:03 UTC 2026","passed","Wed May 20 16:35:04 UTC 2026","Login Feature","","",""
