"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Login success with valid credential","webkit","2026-06-23","failed","2026-06-23","Login Feature","","",""
"","2141","Login success with valid credential","firefox","2026-06-23","passed","2026-06-23","Login Feature","","",""
"","747","Login failed with wrong password","firefox","2026-06-23","passed","2026-06-23","Login Feature","","",""
"","636","Login failed with wrong username","chromium","2026-06-23","passed","2026-06-23","Login Feature","","",""
"","3","Login failed with wrong username","webkit","2026-06-23","failed","2026-06-23","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","2026-06-23","failed","2026-06-23","Checkout Feature","","",""
"","811","Login failed with wrong username","firefox","2026-06-23","passed","2026-06-23","Login Feature","","",""
"","3","Login failed with wrong password","webkit","2026-06-23","failed","2026-06-23","Login Feature","","",""
"","968","Login success with valid credential","chromium","2026-06-23","passed","2026-06-23","Login Feature","","",""
"","568","Login failed with wrong password","chromium","2026-06-23","passed","2026-06-23","Login Feature","","",""
"","672","Login failed without username and password","firefox","2026-06-23","passed","2026-06-23","Login Feature","","",""
"","1345","User can add 3 products and checkout successfully","chromium","2026-06-23","passed","2026-06-23","Checkout Feature","","",""
"","3","Login failed without username and password","webkit","2026-06-23","failed","2026-06-23","Login Feature","","",""
"","2555","User can add 3 products and checkout successfully","firefox","2026-06-23","passed","2026-06-23","Checkout Feature","","",""
"","575","Login failed without username and password","chromium","2026-06-23","passed","2026-06-23","Login Feature","","",""
